season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
7,20,146,Training Day,Paul Lieberstein,Daniel Chun,2011-04-14,7020,7870000.0
7,21,147,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,2011-04-21,7021,6850000.0
7,22,148,"Goodbye, Michael",Paul Feig,Greg Daniels,2011-04-28,7022,8420000.0
7,23,149,The Inner Circle,Matt Sohn,Charlie Grandy,2011-05-05,7023,6900000.0
7,24,150,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,2011-05-12,7024,6450000.0
7,25,151,Search Committee,Jeffrey Blitz,Paul Lieberstein,2011-05-19,7025,7290000.0
7,26,152,Search Committee,Jeffrey Blitz,Paul Lieberstein,2011-05-19,7026,7290000.0
8,1,153,The List,B. J. Novak,B. J. Novak,2011-09-22,8002,7640000.0
8,2,154,The Incentive,Charles McDougall,Paul Lieberstein,2011-09-29,8001,6700000.0
8,3,155,Lotto,John Krasinski,Charlie Grandy,2011-10-06,8005,5820000.0
8,4,156,Garden Party,David Rogers,Justin Spitzer,2011-10-13,8004,6080000.0
8,5,157,Spooked,Randall Einhorn,Carrie Kemper,2011-10-27,8006,5530000.0
8,6,158,Doomsday,Troy Miller,Daniel Chun,2011-11-03,8003,6150000.0
8,7,159,Pam's Replacement,Matt Sohn,Allison Silverman,2011-11-10,8007,5960000.0
8,8,160,Gettysburg,Jeffrey Blitz,Robert Padnick,2011-11-17,8008,5500000.0
8,9,161,Mrs. California,Charlie Grandy,Dan Greaney,2011-12-01,8009,5710000.0
8,10,162,Christmas Wishes,Ed Helms,Mindy Kaling,2011-12-08,8010,5790000.0
8,11,163,Trivia,B. J. Novak,Steve Hely,2012-01-12,8011,5900000.0
8,12,164,Pool Party,Charles McDougall,Owen Ellickson,2012-01-19,8012,6020000.0
8,13,165,Jury Duty,Eric Appel,Aaron Shure,2012-02-02,8013,5310000.0
8,14,166,Special Project,David Rogers,Amelie Gillette,2012-02-09,8014,5190000.0
8,15,167,Tallahassee,Matt Sohn,Daniel Chun,2012-02-16,8015,4380000.0
8,16,168,After Hours,Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,2012-02-23,8016,5020000.0
8,17,169,Test the Store,Brent Forrester,Mindy Kaling,2012-03-01,8017,4950000.0
8,18,170,Last Day in Florida,Matt Sohn,Robert Padnick,2012-03-08,8018,4890000.0
8,19,171,Get the Girl,Rainn Wilson,Charlie Grandy,2012-03-15,8019,4870000.0
8,20,172,Welcome Party,Ed Helms,Steve Hely,2012-04-12,8020,4390000.0
8,21,173,Angry Andy,Claire Scanlon,Justin Spitzer,2012-04-19,8021,4350000.0
8,22,174,Fundraiser,David Rogers,Owen Ellickson,2012-04-26,8022,4170000.0
8,23,175,Turf War,Daniel Chun,Warren Lieberstein & Halsted Sullivan,2012-05-03,8023,4440000.0
8,24,176,Free Family Portrait Studio,B. J. Novak,B. J. Novak,2012-05-10,8024,4490000.0
9,1,177,New Guys,Greg Daniels,Greg Daniels,2012-09-20,9001,4280000.0
9,2,178,Roy's Wedding,Matt Sohn,Allison Silverman,2012-09-27,9002,4130000.0
9,3,179,Andy's Ancestry,David Rogers,Jonathan Green & Gabe Miller,2012-10-04,9003,4139999.9999999995
9,4,180,Work Bus,Bryan Cranston,Brent Forrester,2012-10-18,9004,4280000.0
9,5,181,Here Comes Treble,Claire Scanlon,Owen Ellickson,2012-10-25,9006,4000000.0
9,6,182,The Boat,John Krasinski,Dan Sterling,2012-11-08,9007,4830000.0
9,7,183,The Whale,Rodman Flender,Carrie Kemper,2012-11-15,9008,4160000.0
9,8,184,The Target,Brent Forrester,Graham Wagner,2012-11-29,9009,3880000.0
9,9,185,Dwight Christmas,Charles McDougall,Robert Padnick,2012-12-06,9010,4160000.0
9,10,186,Lice,Rodman Flender,Niki Schwartz-Wright,2013-01-10,9011,4540000.0
9,11,187,Suit Warehouse,Matt Sohn,Dan Greaney,2013-01-17,9012,4150000.0000000005
9,12,188,Customer Loyalty,Kelly Cantley,Jonathan Green & Gabe Miller,2013-01-24,9013,4190000.0000000005
9,13,189,Junior Salesman,David Rogers,Carrie Kemper,2013-01-31,9014,4450000.0
9,14,190,Vandalism,Lee Kirk,Owen Ellickson,2013-01-31,9015,3970000.0
9,15,191,Couples Discount,Troy Miller,Allison Silverman,2013-02-07,9016,4150000.0000000005
9,16,192,Moving On,Jon Favreau,Graham Wagner,2013-02-14,9017,4059999.9999999995
9,17,193,The Farm,Paul Lieberstein,Paul Lieberstein,2013-03-14,9005,3540000.0
9,18,194,Promos,Jennifer Celotta,Tim McAuliffe,2013-04-04,9018,3440000.0
9,19,195,Stairmageddon,Matt Sohn,Dan Sterling,2013-04-11,9019,3830000.0
9,20,196,Paper Airplane,Jesse Peretz,Halsted Sullivan & Warren Lieberstein,2013-04-25,9020,3250000.0
9,21,197,Livin' the Dream,Jeffrey Blitz,Niki Schwartz-Wright,2013-05-02,9021,3510000.0
9,22,198,A.A.R.M.,David Rogers,Brent Forrester,2013-05-09,9022,4560000.0
9,23,199,A.A.R.M.,David Rogers,Brent Forrester,2013-05-09,9023,4560000.0
9,24,200,Finale,Ken Kwapis,Greg Daniels,2013-05-16,9024,5690000.0
9,25,201,Finale,Ken Kwapis,Greg Daniels,2013-05-16,9025,5690000.0
